{Frame : 1 , similarity : 96.89 }
{Frame : 2 , similarity : 91.94 }
{Frame : 3 , similarity : 91.84 }
{Frame : 4 , similarity : 93.75 }
{Frame : 5 , similarity : 94.17 }
{Frame : 6 , similarity : 93.70 }
{Frame : 7 , similarity : 92.76 }
{Frame : 8 , similarity : 91.09 }
{Frame : 9 , similarity : 90.94 }
{Frame : 10 , similarity : 92.31 }
{Frame : 11 , similarity : 93.25 }
{Frame : 12 , similarity : 93.19 }
{Frame : 13 , similarity : 93.12 }
{Frame : 14 , similarity : 94.32 }
{Frame : 15 , similarity : 93.76 }
{Frame : 16 , similarity : 92.26 }
{Frame : 17 , similarity : 92.11 }
{Frame : 18 , similarity : 93.49 }
{Frame : 19 , similarity : 94.10 }
{Frame : 20 , similarity : 95.00 }
{Frame : 21 , similarity : 94.61 }
{Frame : 22 , similarity : 94.49 }
{Frame : 23 , similarity : 94.48 }
{Frame : 24 , similarity : 92.53 }
{Frame : 25 , similarity : 90.94 }
{Frame : 26 , similarity : 90.54 }
{Frame : 27 , similarity : 89.53 }
{Frame : 28 , similarity : 90.02 }
{Frame : 29 , similarity : 89.89 }
{Frame : 30 , similarity : 91.01 }
{Frame : 31 , similarity : 90.85 }
{Frame : 32 , similarity : 92.71 }
{Frame : 33 , similarity : 94.21 }
{Frame : 34 , similarity : 93.98 }
{Frame : 35 , similarity : 94.68 }
{Frame : 36 , similarity : 95.73 }
{Frame : 37 , similarity : 95.82 }
{Frame : 38 , similarity : 95.62 }
{Frame : 39 , similarity : 96.55 }
{Frame : 40 , similarity : 96.50 }
{Frame : 41 , similarity : 91.61 }
{Frame : 42 , similarity : 92.68 }
{Frame : 43 , similarity : 93.55 }
{Frame : 44 , similarity : 92.02 }
{Frame : 45 , similarity : 89.91 }
{Frame : 46 , similarity : 87.91 }
{Frame : 47 , similarity : 87.78 }
{Frame : 48 , similarity : 88.63 }
{Frame : 49 , similarity : 87.02 }
{Frame : 50 , similarity : 88.20 }
{Frame : 51 , similarity : 86.64 }
{Frame : 52 , similarity : 88.89 }
{Frame : 53 , similarity : 89.87 }
{Frame : 54 , similarity : 90.79 }
